,valuation_date,code,final_score,score_name
101,2025-05-14,002625.SZ,1.4124092876305794,a1
102,2025-05-14,688777.SH,1.4092601030427743,a1
103,2025-05-14,002225.SZ,1.4061109184549692,a1
104,2025-05-14,601921.SH,1.4029617338671643,a1
105,2025-05-14,300171.SZ,1.3998125492793592,a1
106,2025-05-14,601238.SH,1.396663364691554,a1
107,2025-05-14,002728.SZ,1.393514180103749,a1
108,2025-05-14,603611.SH,1.3903649955159438,a1
109,2025-05-14,002736.SZ,1.3872158109281387,a1
110,2025-05-14,300158.SZ,1.3840666263403336,a1
111,2025-05-14,688819.SH,1.3809174417525285,a1
112,2025-05-14,603969.SH,1.3777682571647236,a1
113,2025-05-14,603927.SH,1.3746190725769185,a1
114,2025-05-14,002135.SZ,1.3714698879891134,a1
115,2025-05-14,600133.SH,1.3683207034013083,a1
116,2025-05-14,600906.SH,1.3651715188135032,a1
117,2025-05-14,601858.SH,1.362022334225698,a1
118,2025-05-14,002626.SZ,1.358873149637893,a1
119,2025-05-14,002091.SZ,1.3557239650500879,a1
120,2025-05-14,300474.SZ,1.3525747804622827,a1
121,2025-05-14,688347.SH,1.3494255958744779,a1
122,2025-05-14,603328.SH,1.3462764112866727,a1
123,2025-05-14,300285.SZ,1.3431272266988676,a1
124,2025-05-14,688330.SH,1.3399780421110625,a1
125,2025-05-14,600703.SH,1.3368288575232574,a1
126,2025-05-14,000825.SZ,1.3336796729354523,a1
127,2025-05-14,603766.SH,1.3305304883476472,a1
128,2025-05-14,603866.SH,1.327381303759842,a1
129,2025-05-14,300699.SZ,1.3242321191720372,a1
130,2025-05-14,601615.SH,1.321082934584232,a1
131,2025-05-14,688223.SH,1.317933749996427,a1
132,2025-05-14,002268.SZ,1.3147845654086219,a1
133,2025-05-14,002080.SZ,1.3116353808208168,a1
134,2025-05-14,300866.SZ,1.3084861962330117,a1
135,2025-05-14,002517.SZ,1.3053370116452065,a1
136,2025-05-14,600389.SH,1.3021878270574014,a1
137,2025-05-14,300327.SZ,1.2990386424695965,a1
138,2025-05-14,002068.SZ,1.2958894578817914,a1
139,2025-05-14,002129.SZ,1.2927402732939863,a1
140,2025-05-14,603855.SH,1.2895910887061812,a1
141,2025-05-14,600500.SH,1.2864419041183761,a1
142,2025-05-14,000567.SZ,1.283292719530571,a1
143,2025-05-14,300676.SZ,1.280143534942766,a1
144,2025-05-14,601138.SH,1.2769943503549608,a1
145,2025-05-14,688728.SH,1.273845165767156,a1
146,2025-05-14,601099.SH,1.2706959811793508,a1
